time, value1, value2
-39.1000E-06,+1.0332031250E+00,+628.9062500E-03
-39.0000E-06,+1.0429687500E+00,+613.2812500E-03
-38.9000E-06,+1.0527343750E+00,+593.7500000E-03
-38.8000E-06,+1.0605468750E+00,+576.1718750E-03
-38.7000E-06,+1.0703125000E+00,+562.5000000E-03
-38.6000E-06,+1.0781250000E+00,+550.7812500E-03
-38.5000E-06,+1.0859375000E+00,+537.1093750E-03
-38.4000E-06,+1.0917968750E+00,+525.3906250E-03
-38.3000E-06,+1.0957031250E+00,+515.6250000E-03
-38.2000E-06,+1.1035156250E+00,+505.8593750E-03
-38.1000E-06,+1.1074218750E+00,+500.0000000E-03
-38.0000E-06,+1.1113281250E+00,+492.1875000E-03
-37.9000E-06,+1.1152343750E+00,+484.3750000E-03
-37.8000E-06,+1.1191406250E+00,+478.5156250E-03
-37.7000E-06,+1.1210937500E+00,+472.6562500E-03
-37.6000E-06,+1.1250000000E+00,+466.7968750E-03
-37.5000E-06,+1.1269531250E+00,+460.9375000E-03
-37.4000E-06,+1.1289062500E+00,+455.0781250E-03
-37.3000E-06,+1.1308593750E+00,+449.2187500E-03
-37.2000E-06,+1.1328125000E+00,+441.4062500E-03
-37.1000E-06,+1.1347656250E+00,+435.5468750E-03
-37.0000E-06,+1.1347656250E+00,+431.6406250E-03
-36.9000E-06,+1.1347656250E+00,+427.7343750E-03
-36.8000E-06,+1.1367187500E+00,+421.8750000E-03
-36.7000E-06,+1.1367187500E+00,+417.9687500E-03
-36.6000E-06,+1.1367187500E+00,+414.0625000E-03
-36.5000E-06,+1.1367187500E+00,+410.1562500E-03
-36.4000E-06,+1.1367187500E+00,+404.2968750E-03
-36.3000E-06,+1.1386718750E+00,+400.3906250E-03
-36.2000E-06,+1.1347656250E+00,+400.3906250E-03
-36.1000E-06,+1.1347656250E+00,+396.4843750E-03
-36.0000E-06,+1.1367187500E+00,+390.6250000E-03
-35.9000E-06,+1.1367187500E+00,+388.6718750E-03
-35.8000E-06,+1.1347656250E+00,+384.7656250E-03
-35.7000E-06,+1.1328125000E+00,+378.9062500E-03
-35.6000E-06,+1.1308593750E+00,+376.9531250E-03
-35.5000E-06,+1.1308593750E+00,+373.0468750E-03
-35.4000E-06,+1.1289062500E+00,+371.0937500E-03
-35.3000E-06,+1.1269531250E+00,+367.1875000E-03
-35.2000E-06,+1.1269531250E+00,+367.1875000E-03
-35.1000E-06,+1.1269531250E+00,+359.3750000E-03
-35.0000E-06,+1.1230468750E+00,+359.3750000E-03
-34.9000E-06,+1.1230468750E+00,+355.4687500E-03
-34.8000E-06,+1.1191406250E+00,+357.4218750E-03
-34.7000E-06,+1.1191406250E+00,+351.5625000E-03
-34.6000E-06,+1.1171875000E+00,+351.5625000E-03
-34.5000E-06,+1.1152343750E+00,+351.5625000E-03
-34.4000E-06,+1.1152343750E+00,+347.6562500E-03
-34.3000E-06,+1.1113281250E+00,+345.7031250E-03
-34.2000E-06,+1.1132812500E+00,+345.7031250E-03
-34.1000E-06,+1.1093750000E+00,+345.7031250E-03
-34.0000E-06,+1.1074218750E+00,+343.7500000E-03
-33.9000E-06,+1.1054687500E+00,+343.7500000E-03
-33.8000E-06,+1.1035156250E+00,+341.7968750E-03
-33.7000E-06,+1.1035156250E+00,+341.7968750E-03
-33.6000E-06,+1.1035156250E+00,+339.8437500E-03
-33.5000E-06,+1.0996093750E+00,+341.7968750E-03
-33.4000E-06,+1.0996093750E+00,+339.8437500E-03
